date,covid,covid_unsmoothed,lower_ci,upper_ci,level,activity_category
2024-07-31,761.9215908848096,763.8882548589094,650.2180384286011,877.5584712892177,high,not calculated
2024-08-02,728.7080694111581,776.0860042180917,677.8054196616736,874.36658877451,high,not calculated
2024-08-05,761.9215908848096,745.7905135774275,668.372168464803,823.208858690052,high,not calculated
2024-08-07,732.7739858642188,676.4454397971376,361.1906623851406,991.7002172091346,high,not calculated
2024-08-09,730.9468354878543,1374.6147719539556,1063.270001634872,1685.959542273039,high,not calculated
2024-08-12,820.8866651816696,570.3604258186776,409.4448536032838,731.2759980340714,high,not calculated
2024-08-14,785.5249938555163,770.6045530889977,654.9703513624685,886.2387548155269,high,not calculated
2024-08-16,682.5231572610987,1015.6100026588737,804.4982040845907,1226.7218012331566,high,not calculated
2024-08-19,830.9396828744975,554.7150776567884,364.572007080023,744.8581482335536,high,not calculated
2024-08-21,812.2613130817194,706.6044928756212,436.0260790518661,977.1829066993762,high,not calculated
2024-08-23,658.6296714143576,2286.269489474921,2032.271989222134,2540.2669897277083,high,not calculated
2024-08-26,694.849057270909,714.5694437106634,601.2022973640928,827.936590057234,high,not calculated
2024-08-28,642.9332981119487,550.8572153987403,433.0087172841903,668.7057135132902,high,not calculated
2024-08-30,584.1592004695025,663.3732352264423,464.7843976522078,861.9620728006767,high,not calculated
2024-09-02,540.004467943279,256.0223360505667,170.4467893886851,341.5978827124483,high,not calculated
2024-09-04,577.5098078858464,538.2471507833249,389.3889737120253,687.1053278546244,high,not calculated
2024-09-06,441.7261748272212,530.9090376477722,294.5812981395557,767.2367771559885,high,not calculated
2024-09-09,497.20667842631786,671.547741174122,396.98483024693866,946.1106521013055,high,not calculated
2024-09-11,442.1151348095989,220.11727562493843,91.06900512545766,349.1655461244192,high,not calculated
2024-09-13,356.9319542435553,422.4638468478568,348.5681029641468,496.35959073156675,high,not calculated
2024-09-16,356.9319542435553,372.97251993316775,284.347209480469,461.59783038586653,high,not calculated
2024-09-18,370.59475978231967,275.3594959496415,192.86289745391312,357.8560944453698,high,not calculated
2024-09-20,326.61209015041817,744.9801403705544,552.9156457125305,937.0446350285782,high,not calculated
2024-09-23,432.18940322093596,316.34791256593445,261.47985752259933,371.2159676092696,high,not calculated
2024-09-25,583.67750402707,290.5158379521523,192.12869686932447,388.90297903498015,high,not calculated
2024-09-27,432.18940322093596,689.7044591447211,595.9168615838033,783.4920567056389,high,not calculated
2024-09-30,466.86592395326045,1173.1678958464763,1038.7696111355992,1307.5661805573534,high,not calculated
2024-10-02,434.6390549159567,193.83523084024108,132.3787100454689,255.29175163501327,high,not calculated
2024-10-04,266.1826662776375,420.37747476290804,353.82834569072503,486.92660383509104,high,not calculated
2024-10-07,180.8150934716686,184.3352932297635,122.68036748987727,245.99021896964967,high,not calculated
2024-10-09,162.03509116768925,164.27475634500118,127.59475441324842,200.95475827675392,high,not calculated
2024-10-11,148.90461201564935,34.86157739009952,18.60535800890264,51.117796771296405,high,not calculated
2024-10-14,143.09301268719398,137.49522392830312,67.64933715862472,207.34111069798155,high,not calculated
2024-10-16,143.09301268719398,144.94385577364372,105.54891423035922,184.33879731692818,high,not calculated
2024-10-18,169.04027687210126,146.83995835963503,98.57724879319156,195.1026679260785,high,not calculated
2024-10-21,169.04027687210126,571.6760287816194,464.88572542171977,678.4663321415189,high,not calculated
2024-10-23,187.36152031763078,215.33701648302494,157.4992629830698,273.1747699829801,high,not calculated
2024-10-25,233.09210542904833,130.6036763237295,105.50484846783958,155.7025041796194,high,not calculated
2024-10-28,233.09210542904833,199.9075861102324,52.842718672067946,346.97245354839686,high,not calculated
2024-10-30,272.44186414961996,284.03171369388764,181.51258303585433,386.55084435192094,high,not calculated
2024-11-01,293.0995294320696,756.5926738054746,621.0948152255696,892.0905323853797,high,not calculated
